A:\16-05\IndusFont1840Out7\00000000.bmp,3,1,4,2,2,1,2,2,3,1,2,2,3,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
A:\16-05\IndusFont1840Out7\00000001.bmp,3,1,4,2,3,1,2,2,3,1,2,2,3,1,2,2,3,3,3,3,3,3,3,3,11,0,6,3,3,3,6,3,
A:\16-05\IndusFont1840Out7\00000002.bmp,3,1,4,2,2,1,2,2,2,1,2,2,3,1,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
A:\16-05\IndusFont1840Out7\00000003.bmp,4,1,4,2,3,1,2,2,3,1,4,2,3,1,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
A:\16-05\IndusFont1840Out7\00000004.bmp,3,1,4,2,3,1,4,2,3,1,2,2,4,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
A:\16-05\IndusFont1840Out7\00000005.bmp,3,1,4,2,2,1,2,2,3,1,4,2,4,1,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,
A:\16-05\IndusFont1840Out7\00000006.bmp,4,1,4,2,2,1,2,2,3,1,2,2,4,1,4,2,3,3,3,3,3,3,3,3,3,3,11,0,3,3,6,3,
A:\16-05\IndusFont1840Out7\00000007.bmp,4,1,4,2,2,1,2,2,3,1,2,2,4,1,4,2,3,3,3,3,3,3,3,3,3,3,6,3,3,3,6,3,
A:\16-05\IndusFont1840Out7\00000008.bmp,4,1,4,2,3,1,4,2,3,1,6,2,2,1,6,2,6,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,
A:\16-05\IndusFont1840Out7\00000009.bmp,1,1,4,2,3,1,4,2,1,1,12,0,4,1,2,2,3,3,3,3,3,3,3,3,12,0,12,0,12,0,6,3,
A:\16-05\IndusFont1840Out7\00000010.bmp,3,1,4,2,2,1,4,2,2,1,2,2,3,1,8,2,6,3,3,3,3,3,3,3,11,0,6,3,3,3,3,3,
A:\16-05\IndusFont1840Out7\00000011.bmp,4,1,4,2,4,1,4,2,3,1,2,2,3,1,6,2,3,3,3,3,3,3,3,3,12,0,6,3,3,3,6,3,
A:\16-05\IndusFont1840Out7\00000012.bmp,1,1,4,2,3,1,2,2,1,1,12,0,4,1,2,2,3,3,3,3,3,3,3,3,12,0,12,0,12,0,6,3,
